"lon","lat","A_growth","n_A_end","mean_Temp","tot_mu"
140,-37.4,0.0157632765840985,241.677956650474,16.4604254158225,0
139.9,-37.3,0.0150817310471293,188.062569901891,16.3572810798617,0
140,-37.3,0.016801969477211,354.143996355888,16.6319794731534,0
139.8,-37.2,0.0135646446571232,107.632201179999,16.0975305862865,0
139.9,-37.2,0.0159884625718755,262.496721033956,16.5037034437875,0
140,-37.2,0.0183507168471239,626.160759047759,16.9057950579544,0
139.8,-37.1,0.0146293080188701,159.186753759105,16.2504582635709,0
139.9,-37.1,0.0176864327921541,490.228680528421,16.7946755224964,0
140,-37.1,0.0198249128281426,1077.36374161647,17.1580225221774,0
139.8,-37,0.0160196071712058,265.389645774454,16.4619311186281,0
139.9,-37,0.0188681469512776,757.277613362776,16.9767104045529,0
140,-37,0.0214075805564904,1929.75540319519,17.4297717014682,0
139.8,-36.9,0.0191653065459367,844.613726407555,17.0374741655781,0
139.9,-36.9,0.021114329313745,1731.68477056041,17.3746032826127,0
140,-36.9,0.02274728147017,3161.45876492327,17.6551618127728,0
139.9,-36.8,0.0228263375441775,3254.37075446419,17.6693314399381,0
140,-36.8,0.0240359828469045,5083.4776937744,17.8732911105236,0
139.9,-36.7,0.0243733992254855,5756.51915632827,17.9352314843381,0
140,-36.7,0.0252959949221939,8089.99418433387,18.0887334011429,0
139.9,-36.6,0.0258702054660407,9998.44597892463,18.1949603881327,0
140,-36.6,0.0264084084748101,12193.9862463616,18.2786094426228,0
139.8,-36.5,0.0260533241015463,10696.7153303067,18.2244653681727,0
139.9,-36.5,0.0274275404659541,17764.3429339424,18.4699420752582,0
140,-36.5,0.0284159905675841,25587.5851409863,18.6458938591769,0
139.8,-36.4,0.0276989563869319,19635.5351829666,18.5152083829599,0
139.9,-36.4,0.0286273655460742,27664.2953501738,18.6777289775736,0
140,-36.4,0.0297305430692758,41576.6169760797,18.8790362006524,0
139.8,-36.3,0.0291486768775681,33539.0037440173,18.7711353214225,0
139.9,-36.3,0.0299940930243013,45830.9281342138,18.9215607424161,0
140,-36.3,0.0309150658542598,64406.0407622742,19.0906366617708,0
139.7,-36.2,0.0290972875257178,32905.1235757839,18.7545405991596,0
139.8,-36.2,0.0300745109689577,47213.7204143815,18.928478810811,0
139.9,-36.2,0.0312344570250527,72484.3223611682,19.1432736335642,0
140,-36.2,0.0327049389131485,124848.050498423,19.4211699996586,0
139.6,-36.1,0.0292952533401575,35398.3113457598,18.7878616996032,0
139.7,-36.1,0.0304331076295883,53903.8307484524,18.9914572851665,0
139.8,-36.1,0.0316697754530581,85147.6570927677,19.2194628439746,0
139.9,-36.1,0.0329131969045063,134857.566733302,19.4526958794142,0
140,-36.1,0.0339312257961189,196517.032042465,19.6458685154017,0
136.7,-36,0.00889099370581852,19.3722678650609,15.1187369960608,0
136.8,-36,0.0133864822483452,101.079088098129,16.0621469869253,0
136.9,-36,0.0148807490309344,175.082152298321,16.3204953484957,0
137,-36,0.0170254267526754,385.366415160658,16.7171377513484,0
137.1,-36,0.0169952619121466,381.007161301197,16.6635929180325,0
137.4,-36,0.0184811293029285,658.086713527754,16.9265969767343,0
137.5,-36,0.0181686026573309,586.50776464111,16.8840513445628,0
137.6,-36,0.0173099358645123,427.498151841676,16.7464788070684,0
139.5,-36,0.0290937754316842,32852.2928091886,18.7447201036055,0
139.6,-36,0.0303173440361198,51638.0699936853,18.9619419724271,0
139.7,-36,0.0319394624858134,94072.1562745627,19.2624851523675,0
139.8,-36,0.0331028369244362,144666.91628594,19.481064585677,0
139.9,-36,0.0342419729816962,220502.233518181,19.6969653278161,0
140,-36,0.0350323119898397,295385.326566759,19.8485779337823,0
136.6,-35.9,0.0113344763600095,47.5550317146706,15.705229574638,0
136.7,-35.9,0.0101923035217295,31.2432618011863,15.3637410284902,0
136.8,-35.9,0.0107069921079611,37.7346917061198,15.4025579205137,0
136.9,-35.9,0.0118158487986698,56.7014387700253,15.5819784001677,0
137,-35.9,0.0145881930963302,157.117097674231,16.1354208432542,0
137.1,-35.9,0.0155587776507903,224.472096248601,16.2820279249106,0
137.2,-35.9,0.0179599040499452,543.111169435888,16.7558268502887,0
137.3,-35.9,0.0205442677430597,1406.89185169374,17.2821270875947,0
137.4,-35.9,0.0207342847034558,1508.7961757825,17.3220684546245,0
137.5,-35.9,0.0210107829048576,1670.43940033999,17.3937781375096,0
137.6,-35.9,0.0205122804300421,1389.96038287406,17.3267075865562,0
139.4,-35.9,0.0290079085078314,31820.4056577472,18.7257411453237,0
139.5,-35.9,0.0305657908823443,56596.1051612322,19.0033838511733,0
139.6,-35.9,0.0319330225571545,93838.6149651431,19.2538433222995,0
139.7,-35.9,0.0332753962299159,154197.395064512,19.5051003806392,0
139.8,-35.9,0.0339211498685821,195813.497404704,19.6270859391146,0
139.9,-35.9,0.0352247550263741,317252.079450784,19.877406957916,0
140,-35.9,0.0361613964698469,448742.917027762,20.059828539067,0
136.6,-35.8,0.0112512554581201,46.1167822391562,15.6394488288079,0
136.7,-35.8,0.00831468820746283,15.669589482054,14.8618889838877,0
136.8,-35.8,0.00719716070868169,10.3904476148539,14.4886626158763,0
136.9,-35.8,0.00818994219498542,14.9559091047045,14.6442894899654,0
137,-35.8,0.00999533507311258,29.0194436740243,15.0018976417692,0
137.1,-35.8,0.0128760897442398,83.6346909110972,15.6080750368524,0
137.2,-35.8,0.016295501232687,294.120276403836,16.3126926850782,0
137.3,-35.8,0.0180192264694144,554.69903868138,16.6702267783561,0
137.4,-35.8,0.0189994357487453,795.914255503157,16.8999217584042,0
137.5,-35.8,0.0221594032062064,2550.28039081379,17.5683236523126,0
