"lon","lat","A_growth","n_A_end","mean_Temp","tot_mu"
-117.1,32.6,0.0456172875031757,14364522.3911218,21.9780521621688,99499540.4261039
-117,32.6,0.0456172875031757,14364522.3911218,21.9780521621688,99499540.4261039
-116.9,32.6,0.0456172875031757,14364522.3911218,21.9780521621688,99499540.4261039
-116.8,32.6,0.0456172875031757,14364522.3911218,21.9780521621688,99499540.4261039
-116.7,32.6,0.0456172875031757,14364522.3911218,21.9780521621688,99499540.4261039
-116.6,32.6,0.0456172875031757,14364522.3911218,21.9780521621688,99499540.4261039
-116.5,32.6,0.0374881553783433,748741.361863633,22.9787991078213,8551447.4643843
-116.4,32.6,0.0374881553783433,748741.361863633,22.9787991078213,8551447.4643843
-117.1,32.7,0.0456172875031757,14364522.3911218,21.9780521621688,99499540.4261039
-117,32.7,0.0456172875031757,14364522.3911218,21.9780521621688,99499540.4261039
-116.9,32.7,0.0456172875031757,14364522.3911218,21.9780521621688,99499540.4261039
-116.8,32.7,0.0456172875031757,14364522.3911218,21.9780521621688,99499540.4261039
-116.7,32.7,0.0456172875031757,14364522.3911218,21.9780521621688,99499540.4261039
-116.6,32.7,0.0456172875031757,14364522.3911218,21.9780521621688,99499540.4261039
-116.5,32.7,0.0374881553783433,748741.361863633,22.9787991078213,8551447.4643843
-116.4,32.7,0.0374881553783433,748741.361863633,22.9787991078213,8551447.4643843
-116.3,32.7,0.0374881553783433,748741.361863633,22.9787991078213,8551447.4643843
-116.2,32.7,0.0374881553783433,748741.361863633,22.9787991078213,8551447.4643843
-116.1,32.7,0.0374881553783433,748741.361863633,22.9787991078213,8551447.4643843
-116,32.7,0.0374881553783433,748741.361863633,22.9787991078213,8551447.4643843
-115.9,32.7,0.0287193153632812,34697.5009995112,28.4387465281718,201922.383079624
-115.8,32.7,0.0287193153632812,34697.5009995112,28.4387465281718,201922.383079624
-115.7,32.7,0.0287193153632812,34697.5009995112,28.4387465281718,201922.383079624
-115.6,32.7,0.0287193153632812,34697.5009995112,28.4387465281718,201922.383079624
-115.5,32.7,0.0287193153632812,34697.5009995112,28.4387465281718,201922.383079624
-115.4,32.7,0.0287193153632812,34697.5009995112,28.4387465281718,201922.383079624
-115.3,32.7,0.0283601482183835,30546.1920766777,28.6516943351508,191733.299515331
-115.2,32.7,0.0283601482183835,30546.1920766777,28.6516943351508,191733.299515331
-117.2,32.8,0.0365131757536325,495420.200701988,20.2694262043299,3154045.75869024
-117.1,32.8,0.0456518511430939,14671694.5352446,22.4039623178359,125144229.991574
-117,32.8,0.0456518511430939,14671694.5352446,22.4039623178359,125144229.991574
-116.9,32.8,0.0456518511430939,14671694.5352446,22.4039623178359,125144229.991574
-116.8,32.8,0.0456518511430939,14671694.5352446,22.4039623178359,125144229.991574
-116.7,32.8,0.0456518511430939,14671694.5352446,22.4039623178359,125144229.991574
-116.6,32.8,0.0456518511430939,14671694.5352446,22.4039623178359,125144229.991574
-116.5,32.8,0.0310925269112516,77036.6449334589,25.2871355742978,594258.18052264
-116.4,32.8,0.0310925269112516,77036.6449334589,25.2871355742978,594258.18052264
-116.3,32.8,0.0310925269112516,77036.6449334589,25.2871355742978,594258.18052264
-116.2,32.8,0.0310925269112516,77036.6449334589,25.2871355742978,594258.18052264
-116.1,32.8,0.0310925269112516,77036.6449334589,25.2871355742978,594258.18052264
-116,32.8,0.0310925269112516,77036.6449334589,25.2871355742978,594258.18052264
-115.9,32.8,0.0288761275531754,36830.919589852,28.5050629302463,210991.889322363
-115.8,32.8,0.0288761275531754,36830.919589852,28.5050629302463,210991.889322363
-115.7,32.8,0.0288761275531754,36830.919589852,28.5050629302463,210991.889322363
-115.6,32.8,0.0288761275531754,36830.919589852,28.5050629302463,210991.889322363
-115.5,32.8,0.0288761275531754,36830.919589852,28.5050629302463,210991.889322363
-115.4,32.8,0.0288761275531754,36830.919589852,28.5050629302463,210991.889322363
-115.3,32.8,0.0287953044303092,35318.8235270109,27.729870710342,226881.95433184
-115.2,32.8,0.0287953044303092,35318.8235270109,27.729870710342,226881.95433184
-115.1,32.8,0.0287953044303092,35318.8235270109,27.729870710342,226881.95433184
-115,32.8,0.0287953044303092,35318.8235270109,27.729870710342,226881.95433184
-114.9,32.8,0.0287953044303092,35318.8235270109,27.729870710342,226881.95433184
-114.8,32.8,0.0287953044303092,35318.8235270109,27.729870710342,226881.95433184
-114.7,32.8,0.0287953044303092,35318.8235270109,27.729870710342,226881.95433184
-114.6,32.8,0.0288247693565146,35868.2210400896,28.0136832658182,219016.231701763
-117.2,32.9,0.0365131757536325,495420.200701988,20.2694262043299,3154045.75869024
-117.1,32.9,0.0456518511430939,14671694.5352446,22.4039623178359,125144229.991574
-117,32.9,0.0456518511430939,14671694.5352446,22.4039623178359,125144229.991574
-116.9,32.9,0.0456518511430939,14671694.5352446,22.4039623178359,125144229.991574
-116.8,32.9,0.0456518511430939,14671694.5352446,22.4039623178359,125144229.991574
-116.7,32.9,0.0456518511430939,14671694.5352446,22.4039623178359,125144229.991574
-116.6,32.9,0.0456518511430939,14671694.5352446,22.4039623178359,125144229.991574
-116.5,32.9,0.0310925269112516,77036.6449334589,25.2871355742978,594258.18052264
-116.4,32.9,0.0310925269112516,77036.6449334589,25.2871355742978,594258.18052264
-116.3,32.9,0.0310925269112516,77036.6449334589,25.2871355742978,594258.18052264
-116.2,32.9,0.0310925269112516,77036.6449334589,25.2871355742978,594258.18052264
-116.1,32.9,0.0310925269112516,77036.6449334589,25.2871355742978,594258.18052264
-116,32.9,0.0310925269112516,77036.6449334589,25.2871355742978,594258.18052264
-115.9,32.9,0.0288761275531754,36830.919589852,28.5050629302463,210991.889322363
-115.8,32.9,0.0288761275531754,36830.919589852,28.5050629302463,210991.889322363
-115.7,32.9,0.0288761275531754,36830.919589852,28.5050629302463,210991.889322363
-115.6,32.9,0.0288761275531754,36830.919589852,28.5050629302463,210991.889322363
-115.5,32.9,0.0288761275531754,36830.919589852,28.5050629302463,210991.889322363
-115.4,32.9,0.0288761275531754,36830.919589852,28.5050629302463,210991.889322363
-115.3,32.9,0.0287953044303092,35318.8235270109,27.729870710342,226881.95433184
-115.2,32.9,0.0287953044303092,35318.8235270109,27.729870710342,226881.95433184
-115.1,32.9,0.0287953044303092,35318.8235270109,27.729870710342,226881.95433184
-115,32.9,0.0287953044303092,35318.8235270109,27.729870710342,226881.95433184
-114.9,32.9,0.0287953044303092,35318.8235270109,27.729870710342,226881.95433184
-114.8,32.9,0.0287953044303092,35318.8235270109,27.729870710342,226881.95433184
-114.7,32.9,0.0287953044303092,35318.8235270109,27.729870710342,226881.95433184
-114.6,32.9,0.0288247693565146,35868.2210400896,28.0136832658182,219016.231701763
-114.5,32.9,0.0288247693565146,35868.2210400896,28.0136832658182,219016.231701763
-117.2,33,0.0365131757536325,495420.200701988,20.2694262043299,3154045.75869024
-117.1,33,0.0456518511430939,14671694.5352446,22.4039623178359,125144229.991574
-117,33,0.0456518511430939,14671694.5352446,22.4039623178359,125144229.991574
-116.9,33,0.0456518511430939,14671694.5352446,22.4039623178359,125144229.991574
-116.8,33,0.0456518511430939,14671694.5352446,22.4039623178359,125144229.991574
-116.7,33,0.0456518511430939,14671694.5352446,22.4039623178359,125144229.991574
-116.6,33,0.0456518511430939,14671694.5352446,22.4039623178359,125144229.991574
-116.5,33,0.0310925269112516,77036.6449334589,25.2871355742978,594258.18052264
-116.4,33,0.0310925269112516,77036.6449334589,25.2871355742978,594258.18052264
-116.3,33,0.0310925269112516,77036.6449334589,25.2871355742978,594258.18052264
-116.2,33,0.0310925269112516,77036.6449334589,25.2871355742978,594258.18052264
-116.1,33,0.0310925269112516,77036.6449334589,25.2871355742978,594258.18052264
-116,33,0.0310925269112516,77036.6449334589,25.2871355742978,594258.18052264
-115.9,33,0.0288761275531754,36830.919589852,28.5050629302463,210991.889322363
-115.8,33,0.0288761275531754,36830.919589852,28.5050629302463,210991.889322363
-115.7,33,0.0288761275531754,36830.919589852,28.5050629302463,210991.889322363
-115.6,33,0.0288761275531754,36830.919589852,28.5050629302463,210991.889322363
-115.5,33,0.0288761275531754,36830.919589852,28.5050629302463,210991.889322363
-115.4,33,0.0288761275531754,36830.919589852,28.5050629302463,210991.889322363
-115.3,33,0.0287953044303092,35318.8235270109,27.729870710342,226881.95433184
-115.2,33,0.0287953044303092,35318.8235270109,27.729870710342,226881.95433184
-115.1,33,0.0287953044303092,35318.8235270109,27.729870710342,226881.95433184
-115,33,0.0287953044303092,35318.8235270109,27.729870710342,226881.95433184
-114.9,33,0.0287953044303092,35318.8235270109,27.729870710342,226881.95433184
-114.8,33,0.0287953044303092,35318.8235270109,27.729870710342,226881.95433184
-114.7,33,0.0287953044303092,35318.8235270109,27.729870710342,226881.95433184
-114.6,33,0.0288247693565146,35868.2210400896,28.0136832658182,219016.231701763
-114.5,33,0.0288247693565146,35868.2210400896,28.0136832658182,219016.231701763
-117.2,33.1,0.0365131757536325,495420.200701988,20.2694262043299,3154045.75869024
-117.1,33.1,0.0456518511430939,14671694.5352446,22.4039623178359,125144229.991574
-117,33.1,0.0456518511430939,14671694.5352446,22.4039623178359,125144229.991574
-116.9,33.1,0.0456518511430939,14671694.5352446,22.4039623178359,125144229.991574
-116.8,33.1,0.0456518511430939,14671694.5352446,22.4039623178359,125144229.991574
-116.7,33.1,0.0456518511430939,14671694.5352446,22.4039623178359,125144229.991574
-116.6,33.1,0.0456518511430939,14671694.5352446,22.4039623178359,125144229.991574
-116.5,33.1,0.0310925269112516,77036.6449334589,25.2871355742978,594258.18052264
-116.4,33.1,0.0310925269112516,77036.6449334589,25.2871355742978,594258.18052264
-116.3,33.1,0.0310925269112516,77036.6449334589,25.2871355742978,594258.18052264
-116.2,33.1,0.0310925269112516,77036.6449334589,25.2871355742978,594258.18052264
-116.1,33.1,0.0310925269112516,77036.6449334589,25.2871355742978,594258.18052264
-116,33.1,0.0310925269112516,77036.6449334589,25.2871355742978,594258.18052264
-115.9,33.1,0.0288761275531754,36830.919589852,28.5050629302463,210991.889322363
-115.8,33.1,0.0288761275531754,36830.919589852,28.5050629302463,210991.889322363
-115.7,33.1,0.0288761275531754,36830.919589852,28.5050629302463,210991.889322363
-115.6,33.1,0.0288761275531754,36830.919589852,28.5050629302463,210991.889322363
-115.5,33.1,0.0288761275531754,36830.919589852,28.5050629302463,210991.889322363
-115.4,33.1,0.0288761275531754,36830.919589852,28.5050629302463,210991.889322363
-115.3,33.1,0.0287953044303092,35318.8235270109,27.729870710342,226881.95433184
-115.2,33.1,0.0287953044303092,35318.8235270109,27.729870710342,226881.95433184
-115.1,33.1,0.0287953044303092,35318.8235270109,27.729870710342,226881.95433184
-115,33.1,0.0287953044303092,35318.8235270109,27.729870710342,226881.95433184
-114.9,33.1,0.0287953044303092,35318.8235270109,27.729870710342,226881.95433184
-114.8,33.1,0.0287953044303092,35318.8235270109,27.729870710342,226881.95433184
-117.3,33.2,0.0365131757536325,495420.200701988,20.2694262043299,3154045.75869024
-117.2,33.2,0.0365131757536325,495420.200701988,20.2694262043299,3154045.75869024
