,lon,lat,A_growth,n_A_end,mean_Temp,tot_mu
109,34.4,31.3,0.056824098,940456445.2,24.65258165,0
110,34.5,31.3,0.056824098,940456445.2,24.65258165,0
111,34.6,31.3,0.056824098,940456445.2,24.65258165,0
112,34.7,31.3,0.044766945,11399421.37,24.92471104,0
113,34.8,31.3,0.044766945,11399421.37,24.92471104,0
114,34.9,31.3,0.044766945,11399421.37,24.92471104,0
115,35,31.3,0.044766945,11399421.37,24.92471104,0
116,35.1,31.3,0.044766945,11399421.37,24.92471104,0
117,35.2,31.3,0.044766945,11399421.37,24.92471104,0
118,35.3,31.3,0.044766945,11399421.37,24.92471104,0
119,35.4,31.3,0.031448361,92021.92996,26.98988149,0
120,34.4,31.4,0.056824098,940456445.2,24.65258165,0
121,34.5,31.4,0.056824098,940456445.2,24.65258165,0
122,34.6,31.4,0.056824098,940456445.2,24.65258165,0
123,34.7,31.4,0.044766945,11399421.37,24.92471104,0
124,34.8,31.4,0.044766945,11399421.37,24.92471104,0
125,35.3,31.4,0.044766945,11399421.37,24.92471104,0
126,35.4,31.4,0.031448361,92021.92996,26.98988149,0
127,34.5,31.5,0.056824098,940456445.2,24.65258165,0
128,34.6,31.5,0.056824098,940456445.2,24.65258165,0
129,34.7,31.5,0.044766945,11399421.37,24.92471104,0
130,34.8,31.5,0.044766945,11399421.37,24.92471104,0
131,34.9,31.5,0.044766945,11399421.37,24.92471104,0
132,34.5,31.6,0.056824098,940456445.2,24.65258165,0
133,34.6,31.6,0.056824098,940456445.2,24.65258165,0
134,34.7,31.6,0.044766945,11399421.37,24.92471104,0
135,34.8,31.6,0.044766945,11399421.37,24.92471104,0
136,34.9,31.6,0.044766945,11399421.37,24.92471104,0
138,34.7,31.7,0.044766945,11399421.37,24.92471104,0
139,34.8,31.7,0.044766945,11399421.37,24.92471104,0
140,34.9,31.7,0.044766945,11399421.37,24.92471104,0
141,35,31.7,0.044766945,11399421.37,24.92471104,0
