"lon","lat","A_growth","n_A_end","mean_Temp","tot_mu"
116.7,-35,0.0324059959662693,110903.097766831,19.5305545660466,0
116.8,-35,0.0324947750312917,114632.300982456,19.5430943239251,0
116.9,-35,0.0315827600414289,81908.4161990728,19.4081851822511,0
117,-35,0.034732037881713,262012.326928362,19.8737341746022,0
117.1,-35,0.0347710566144632,265860.473151052,19.8797844392231,0
117.2,-35,0.0345076043787621,241238.55920745,19.8405254870727,0
117.3,-35,0.0332838688521565,153525.796364031,19.6589148783356,0
117.5,-35,0.0354464272944882,341105.485299709,19.9760758841426,0
117.6,-35,0.0347255778880882,261316.223382201,19.868699463904,0
117.7,-35,0.0345361096342586,243594.711941748,19.8393628957864,0
117.8,-35,0.0338716247850844,190565.365797568,19.7407119818216,0
117.9,-35,0.0334516569560296,163214.22859804,19.6776052079572,0
118,-35,0.0337006315024592,178897.035367232,19.7127988116188,0
116.4,-34.9,0.0345822280002416,247851.604078886,19.8547472457624,0
116.5,-34.9,0.0341086616508016,208127.208482097,19.7844717567784,0
116.6,-34.9,0.033422106754194,161542.620463295,19.6818293132374,0
116.7,-34.9,0.0311897928907151,70880.5615372423,19.3489239378852,0
116.8,-34.9,0.0334587428473664,163798.788440265,19.6867246921299,0
116.9,-34.9,0.03465244589394,254648.505825902,19.8656026732292,0
117,-34.9,0.0338807637193173,191565.851815575,19.7510854415991,0
117.1,-34.9,0.0343143582122795,224863.168339663,19.8161091695503,0
117.2,-34.9,0.0325068075065035,115359.802384242,19.5444421251807,0
117.3,-34.9,0.0338827758498032,191717.197957295,19.750149524284,0
117.4,-34.9,0.0347991475869225,268887.347023739,19.8858048330159,0
117.5,-34.9,0.0358376722874691,394528.798815521,20.0388473747748,0
117.6,-34.9,0.0343337037655682,226284.700049303,19.8135822228075,0
117.7,-34.9,0.0340189056607897,201378.986034757,19.7655076826228,0
117.8,-34.9,0.0346640905193411,255461.314419999,19.8597972951957,0
117.9,-34.9,0.0343065321343613,223855.890301759,19.8043490879629,0
118,-34.9,0.0351610567338817,306943.81510186,19.9281768438747,0
118.1,-34.9,0.0340468144474076,203361.486731593,19.7630406498552,0
118.2,-34.9,0.0346382498945023,252968.403774928,19.8493294705446,0
116.1,-34.8,0.0347801626820813,266607.092206456,19.8857956070418,0
116.2,-34.8,0.034531050622121,243345.008588127,19.8503507102602,0
116.3,-34.8,0.0338986908971034,192755.716979702,19.7571856620133,0
116.4,-34.8,0.0344595945430179,237204.948161581,19.8415190639327,0
116.5,-34.8,0.0338494539414274,189380.556422123,19.7499724658014,0
116.6,-34.8,0.0330044210271789,138648.867811094,19.6225114636958,0
116.7,-34.8,0.0316790857544273,85020.2928317558,19.4216835686611,0
116.8,-34.8,0.0330340114780888,140225.571370544,19.6266440822231,0
116.9,-34.8,0.0321744471203861,102135.259463241,19.4965827305334,0
117,-34.8,0.0345326181670887,244035.915411329,19.8551315780483,0
117.1,-34.8,0.0337657677410152,183856.060767614,19.7386438024476,0
117.2,-34.8,0.0341550082334018,212262.925017058,19.7966788787164,0
117.3,-34.8,0.03252877873403,116404.588258831,19.5482180509507,0
117.4,-34.8,0.0335714128392967,171024.919144964,19.7052011759102,0
117.5,-34.8,0.0353498731927308,329788.721434972,19.971852320074,0
117.6,-34.8,0.0347830444824398,267386.381517469,19.8843857446344,0
117.7,-34.8,0.0342433316915031,218974.06241643,19.8014147636179,0
117.8,-34.8,0.0343691318159147,229315.020781238,19.8182867742531,0
117.9,-34.8,0.0347364800398172,262605.652462136,19.8709283795365,0
118,-34.8,0.0355303658887062,352046.81732641,19.9868946435294,0
118.1,-34.8,0.0343715058771262,229417.690676171,19.8127137489282,0
118.2,-34.8,0.0349481393436063,283843.090526911,19.8972496549136,0
118.3,-34.8,0.0357618012593459,383272.557670435,20.0174287203715,0
118.4,-34.8,0.0377015486930873,784781.110199875,20.3054220936541,0
116,-34.7,0.0337548469122143,182756.245302249,19.7374757484381,0
116.1,-34.7,0.0340270085529372,202179.713680292,19.7793335549181,0
116.2,-34.7,0.0342412666488869,218958.667877476,19.8132953791361,0
116.3,-34.7,0.0332283257053105,150702.313176442,19.6613942333782,0
116.4,-34.7,0.0324955834610007,115019.544192631,19.550136690469,0
116.5,-34.7,0.0328917176876005,133159.199333145,19.6103275677716,0
116.6,-34.7,0.0316897098642964,85449.1731084571,19.4252235043271,0
116.7,-34.7,0.0311361479472385,69669.9734312317,19.3394108019462,0
116.8,-34.7,0.0326191797781644,120486.388324503,19.5681434494518,0
116.9,-34.7,0.0338556205741337,190284.639202489,19.7597153363836,0
117,-34.7,0.0341770641287976,214326.940032735,19.8099829702174,0
117.1,-34.7,0.0343784244908924,230866.924421632,19.8401650472488,0
117.2,-34.7,0.0338901319158097,192718.657348293,19.7627581685498,0
117.3,-34.7,0.0327096711694071,124571.902728206,19.5782832956605,0
117.4,-34.7,0.0319763831056521,94987.4005650939,19.4634034018442,0
117.5,-34.7,0.0331997357975789,149179.783141839,19.649741246295,0
117.6,-34.7,0.0336418883848853,175579.761105851,19.7153478336642,0
117.7,-34.7,0.0341045007689068,208227.642694954,19.7836611549163,0
117.8,-34.7,0.0325154478370548,115751.00929228,19.5396017993786,0
117.9,-34.7,0.029053287270314,32251.3935902585,19.0095115943025,0
118,-34.7,0.0341849138273996,214329.884876474,19.7888410756152,0
118.1,-34.7,0.0355927366040049,360507.622471134,19.9993204472497,0
118.2,-34.7,0.0356344335189573,366012.379795752,20.0038261937605,0
118.3,-34.7,0.0359945304581249,418013.588682599,20.0565582673075,0
118.4,-34.7,0.0368774906566591,579164.536537846,20.1881180569957,0
118.5,-34.7,0.0366031699424564,523179.037386719,20.1454717971048,0
115.9,-34.6,0.036248953809671,459590.004573721,20.1176169017808,0
116,-34.6,0.0356707107477949,371384.755891816,20.0337007385059,0
116.1,-34.6,0.035337600468284,328589.525605877,19.9865878679379,0
116.2,-34.6,0.033867264188868,190991.471363766,19.7646595549957,0
116.3,-34.6,0.0325928629830177,119351.175285625,19.5701931062355,0
116.4,-34.6,0.0322055113369996,103470.855818854,19.510043630531,0
116.5,-34.6,0.0315904553540286,82458.4861930507,19.413024744107,0
116.6,-34.6,0.0325379261346703,117020.664664274,19.5605214107992,0
116.7,-34.6,0.03255889122402,117951.89663065,19.5636655256855,0
116.8,-34.6,0.0342126807542138,217358.322640704,19.8232519413961,0
116.9,-34.6,0.0336360932433657,175718.155492264,19.7348355022889,0
117,-34.6,0.0332697669581679,153522.383284256,19.6785958865596,0
117.1,-34.6,0.0332954996905492,154946.791690633,19.6800355181755,0
117.2,-34.6,0.0337922276711053,186086.691628124,19.7546612994582,0
117.3,-34.6,0.0325132804169391,115969.476756131,19.5508110604179,0
117.4,-34.6,0.0331474901699435,146523.18518661,19.6473440587149,0
117.5,-34.6,0.0327112220227034,124666.126959221,19.5768025711914,0
117.6,-34.6,0.0322666691838689,105746.687010788,19.5055900910296,0
117.7,-34.6,0.0324449868714115,112910.468333011,19.5311005435976,0
117.8,-34.6,0.0336017676330153,173035.704229236,19.7073439912962,0
117.9,-34.6,0.0350601209724818,296502.645647555,19.9286770540596,0
118,-34.6,0.0364091584060049,488026.124658919,20.1322004218442,0
118.1,-34.6,0.0353064265052691,324577.375910247,19.9611004308661,0
118.2,-34.6,0.0358934460904238,403107.702005257,20.0484115966964,0
118.3,-34.6,0.0360764954531372,431206.025706694,20.0743612180421,0
118.4,-34.6,0.0363736345770674,481133.097504402,20.117825726212,0
118.5,-34.6,0.0373207264572878,682648.368840434,20.2600959709649,0
