"dates","DOY","TIME","D0cm","D2.5cm","D5cm","D10cm","D15cm","D20cm","D30cm","D50cm","D100cm","D200cm"
2020-01-01,1,0,27.2552931953782,24.4071029022925,22.8246178918987,21.9836772549604,22.302596157257,22.6142290525758,22.1633145582923,19.6801600223663,18.9681036840145,19.0733469229655
2020-01-01 01:00:00,1,60,33.59757528203,27.0544345427265,24.5729962960133,22.6994905745695,22.4096384090803,22.4694762287334,22.0891315513101,19.7215723053182,18.9709091745661,19.0733469229655
2020-01-01 02:00:00,1,120,40.9479553433408,30.0701802957939,26.8619322972078,23.6663853078074,22.697105028858,22.4310294257119,22.017943186855,19.7602954634021,18.97384260545,19.0733469229655
2020-01-01 03:00:00,1,180,55.5513407738339,35.8517484001301,30.5319245222319,25.106889465433,23.2090825248453,22.5129933498849,21.9588736399564,19.7966070322276,18.9768935614967,19.0733469229655
2020-01-01 04:00:00,1,240,58.375192692473,38.9065318428084,33.5757738209283,27.0227893131771,24.0476076780632,22.7505407860836,21.9219155723583,19.8309452197715,18.9800527390763,19.0733469229655
2020-01-01 05:00:00,1,300,57.470929393054,40.4516532155439,35.5815075828967,28.845444251234,25.0906850642752,23.1624133207228,21.9188011790281,19.8639353309313,18.9833130069339,19.0733469229655
2020-01-01 06:00:00,1,360,54.9057855693472,40.8093665092713,36.6443523592623,30.3075631353266,26.157880096592,23.711801685609,21.9591307166321,19.8963830000427,18.986670040461,19.0733469229655
2020-01-01 07:00:00,1,420,50.1259032885274,40.1672867012709,36.9015290365085,31.3188410560984,27.1147795906944,24.3314324482716,22.0468088495215,19.929195397214,18.9901226527513,19.0733469229655
2020-01-01 08:00:00,1,480,44.1953392742899,38.6126826847229,36.4015244078667,31.8412058887736,27.8745740997261,24.9501852708025,22.1792499860623,19.9632658318517,18.9936730550106,19.0733469229655
2020-01-01 09:00:00,1,540,38.2674897651917,36.5695472762332,35.3137968407156,31.8925659429076,28.3848972009172,25.5052667690936,22.3482224189752,19.9993595203382,18.9973268367452,19.0733469229655
2020-01-01 10:00:00,1,600,31.3620819318242,34.1070439941062,33.8044284917045,31.5558343544884,28.6374554827814,25.9511750538737,22.5415997551644,20.0380244002102,19.0010916843246,19.0733469229655
2020-01-01 11:00:00,1,660,23.2203319492838,30.9060113486795,31.7947941368349,30.858825308193,28.6409726461656,26.2622567709041,22.7455144966323,20.0795444697602,19.0049766816605,19.0733469229655
2020-01-01 12:00:00,1,720,21.1845820386304,28.1701834090805,29.5883819341671,29.8292255960959,28.3952002905623,26.4232199226646,22.9458399402962,20.1239230290246,19.0089919762956,19.0733469229655
