"dates","DOY","TIME","D0cm","D2.5cm","D5cm","D10cm","D15cm","D20cm","D30cm","D50cm","D100cm","D200cm"
2021-06-25 14:00:00,176,840,7.50572247235675,9.20684569542984,10.4351867550215,12.095147343759,12.8258921859108,13.0409836358317,12.9595333471664,13.7229752026952,15.8699185340154,18.5340322210859
2021-06-25 15:00:00,176,900,7.04381692381279,8.61518187481198,9.85343451455451,11.6212435237692,12.540575988356,12.9288785231679,12.9942117062758,13.7253199335777,15.8669988678624,18.5340322210859
2021-06-25 16:00:00,176,960,6.54002030436038,8.09191210851217,9.34866074580767,11.1906997973857,12.2536688061582,12.7875236340992,13.0138768478785,13.7280940960261,15.8641079236935,18.5340322210859
2021-06-25 17:00:00,176,1020,5.96791594119249,7.55850166281016,8.86328084757952,10.789377419391,11.9706145325832,12.6277098855784,13.0184747863215,13.7310027786062,15.8612464700793,18.5340322210859
2021-06-25 18:00:00,176,1080,5.45940966684041,7.04517044002742,8.38495614913477,10.4014714408232,11.6904150138661,12.4561674474676,13.0086824170006,13.7337652951173,15.8584142329882,18.5340322210859
2021-06-25 19:00:00,176,1140,4.96629911692002,6.61952533002034,7.93414476716217,10.026933068589,11.4119449959167,12.2764657610825,12.9855000965412,13.7361244088058,15.8556097624065,18.5340322210859
2021-06-25 20:00:00,176,1200,4.76934279294039,6.06252267206052,7.54261049271053,9.66732901599626,11.1371402326918,12.0909628708035,12.9500270573468,13.7378499074704,15.852831185029,18.5340322210859
2021-06-25 21:00:00,176,1260,4.55343547535066,5.78450308041287,7.16376933690708,9.32529164790403,10.8668946888463,11.9016609032212,12.903397245302,13.7387386307359,15.8500757975432,18.5340322210859
2021-06-25 22:00:00,176,1320,5.09375003066011,5.88040719692181,6.98020843657895,9.03116251786144,10.6074521392237,11.7106254680914,12.8467543134327,13.7386140458337,15.8473398785517,18.5340322210859
2021-06-25 23:00:00,176,1380,5.01838883798143,5.97934463093799,6.97675805969706,8.83562973228601,10.3787933422328,11.5230639721409,12.7813708535786,13.7373267767098,15.8446193347519,18.5340322210859
2021-06-26,177,0,4.93314050573698,5.89960921489932,6.88867211890233,8.68289590856607,10.1869183124183,11.3466292871886,12.7089348337275,13.7347590201996,15.8419096189545,18.5340322210859
2021-06-26 01:00:00,177,60,8.88898779227737,7.52412314449174,7.34805602901752,8.61140437016204,10.0249978287379,11.184244283819,12.6313291611068,13.7308297317695,15.8392088280981,18.5340322210859
2021-06-26 02:00:00,177,120,12.8643493944281,9.95919644213172,8.94123325787782,8.9319716120164,9.96720960242898,11.0465973017597,12.5506667059704,13.7254975543463,15.8365084989641,18.5340322210859
2021-06-26 03:00:00,177,180,15.9099140517852,12.5763103798976,10.7973832114664,9.64874179738094,10.0976250281449,10.9665619266735,12.470625932983,13.7187730235048,15.8338042877832,18.5340322210859
2021-06-26 04:00:00,177,240,17.6574451639875,14.7613276636097,12.6273266518562,10.6045622307624,10.4190253095492,10.9747273767085,12.3972722991714,13.7107591821567,15.8310907760699,18.5340322210859
2021-06-26 05:00:00,177,300,18.4546440706408,16.0308209682282,14.0504773631551,11.6044188911742,10.8809149597974,11.0824070005875,12.3376951123744,13.7016817500223,15.8283639314103,18.5340322210859
2021-06-26 06:00:00,177,360,18.5081700662655,16.5277561082424,14.9413918106712,12.4766101843434,11.4014629091314,11.2777734087127,12.298080939329,13.6918876121066,15.8256205752688,18.5340322210859
2021-06-26 07:00:00,177,420,17.6403926747772,16.3406453336264,15.2986200133798,13.1288561201752,11.9032823858148,11.5317931739987,12.2820923037799,13.6818083610761,15.8228589383132,18.5340322210859
2021-06-26 08:00:00,177,480,15.825360197372,15.6891487005427,15.1283605592198,13.5108940115137,12.3262915092857,11.8086843283642,12.2901962542162,13.6719031886511,15.8200790254,18.5340322210859
2021-06-26 09:00:00,177,540,12.9094101022516,14.1455280155563,14.4242017131654,13.5984750127789,12.6283544192371,12.0731702204104,12.3198032676218,13.6625987441643,15.8172819273986,18.5340322210859
2021-06-26 10:00:00,177,600,10.7471323708211,12.3451597575446,13.2292693708161,13.3456145512218,12.7700181677848,12.2930525426187,12.3658429455355,13.654238239137,15.814470612598,18.5340322210859
2021-06-26 11:00:00,177,660,9.51938523164307,11.0227083922206,12.1081216527081,12.8818752491281,12.7452239216611,12.4411551699389,12.4213112591377,13.647042015874,15.8116488951477,18.5340322210859
2021-06-26 12:00:00,177,720,8.7036066512176,10.1004965023489,11.2311390978966,12.3718088532985,12.6034099240078,12.5084706217663,12.4784884922466,13.6410841106629,15.8088211048195,18.5340322210859
2021-06-26 13:00:00,177,780,8.08636807978771,9.39401890321155,10.5372156147528,11.8889534017303,12.3991817056766,12.5046769202992,12.5307216475099,13.6362994629455,15.8059915635135,18.5340322210859
2021-06-26 14:00:00,177,840,7.75653163285768,8.89157217830036,9.98934078839524,11.4524733014329,12.167400711334,12.4470300190388,12.5734123319648,13.6325184373902,15.8031641437957,18.5340322210859
2021-06-26 15:00:00,177,900,7.49053715752293,8.56659200079472,9.58186656613273,11.0761742753264,11.930121361435,12.3525730456027,12.604013318638,13.6295090750309,15.8003419739937,18.5340322210859
2021-06-26 16:00:00,177,960,7.07204413761541,8.38821785404346,9.2583411472443,10.7589018878134,11.7017360764323,12.235967351808,12.6216358472205,13.627013745564,15.7975272875831,18.5340322210859
2021-06-26 17:00:00,177,1020,7.47451110516151,8.26059723386014,9.06274712679819,10.4939080667119,11.4891651235188,12.1084058852196,12.6265866516164,13.6247767292428,15.7947213891006,18.5340322210859
2021-06-26 18:00:00,177,1080,7.3508442152029,8.25051554990456,8.96351518209495,10.297238211844,11.3005676622107,11.978376245123,12.6199341163393,13.6225624094951,15.7919246999607,18.5340322210859
2021-06-26 19:00:00,177,1140,7.2375537617896,8.13809570399979,8.84737995301781,10.1384216019542,11.1381761020349,11.8528140627619,12.6032584304346,13.6201665337818,15.7891368568255,18.5340322210859
2021-06-26 20:00:00,177,1200,7.12573657981935,7.96466274106704,8.71257713826446,9.99198984503193,10.9936725007372,11.7346705866533,12.578353883312,13.6174225367982,15.7863568375019,18.5340322210859
2021-06-26 21:00:00,177,1260,7.0229143085511,7.82498044171438,8.56549158655318,9.84822017650728,10.8594217441083,11.6235598781916,12.5468694775363,13.6142010966844,15.7835831597033,18.5340322210859
2021-06-26 22:00:00,177,1320,7.50963702753682,7.93540063943786,8.51284653269224,9.72099502025008,10.7331507740519,11.5180051291632,12.5101453355146,13.6104042589577,15.7808137720865,18.5340322210859
2021-06-26 23:00:00,177,1380,7.82436462673156,8.24522909750226,8.62522628844395,9.65877216705664,10.6264577808273,11.418665489579,12.4692863141851,13.6059595002245,15.778046509414,18.5340322210859
2021-06-27,178,0,7.57929931248862,8.50311908766541,8.74518047640419,9.65529477398016,10.5512735295031,11.330064587884,12.4254898821476,13.600817244312,15.7752789417373,18.5340322210859
2021-06-27 01:00:00,178,60,10.0154766311038,9.27941063125118,9.12154957277847,9.70285427170666,10.505789799644,11.2558801250754,12.3801618656018,13.5949548314875,15.7725103374006,18.5340322210859
2021-06-27 02:00:00,178,120,10.7457773484779,10.1350590624606,9.800275023531,9.91645570763816,10.5172246779967,11.2014921445844,12.334868648393,13.5883757319249,15.7697361797692,18.5340322210859
2021-06-27 03:00:00,178,180,10.5663464307584,10.4265154648902,10.221056786983,10.1865890514143,10.5950927381233,11.1776866237761,12.2917110509363,13.5811182834953,15.7669540958242,18.5340322210859
2021-06-27 04:00:00,178,240,10.5298343003487,10.4545183877008,10.3858298571763,10.3920921835349,10.6979521200884,11.1848097139843,12.2530754410099,13.5732633439555,15.7641618647351,18.5340322210859
2021-06-27 05:00:00,178,300,12.0909149467315,11.1418387006687,10.6869886889878,10.5567759047585,10.7958221353215,11.2121133327733,12.2205344267938,13.564927978014,15.7613574776999,18.5340322210859
