"","lon","lat"
"13385",145.8,-42.4
"13386",145.9,-42.4
"13387",146,-42.4
"13388",146.1,-42.4
"13389",146.2,-42.4
"13390",146.3,-42.4
"13391",146.4,-42.4
"13392",146.5,-42.4
"13393",146.6,-42.4
"13394",146.7,-42.4
"13395",146.8,-42.4
"13396",146.9,-42.4
"13397",147,-42.4
"13398",147.1,-42.4
"13399",147.2,-42.4
"13400",147.3,-42.4
"13401",147.4,-42.4
"13402",147.5,-42.4
"13403",147.6,-42.4
"13404",147.7,-42.4
"13405",147.8,-42.4
"13406",147.9,-42.4
"13881",145.3,-42.3
"13883",145.5,-42.3
"13884",145.6,-42.3
"13885",145.7,-42.3
"13886",145.8,-42.3
"13887",145.9,-42.3
"13888",146,-42.3
"13889",146.1,-42.3
"13890",146.2,-42.3
"13891",146.3,-42.3
"13892",146.4,-42.3
"13893",146.5,-42.3
"13894",146.6,-42.3
"13895",146.7,-42.3
"13896",146.8,-42.3
"13897",146.9,-42.3
"13898",147,-42.3
"13899",147.1,-42.3
"13900",147.2,-42.3
"13901",147.3,-42.3
"13902",147.4,-42.3
"13903",147.5,-42.3
"13904",147.6,-42.3
"13905",147.7,-42.3
"13906",147.8,-42.3
"13907",147.9,-42.3
"13908",148,-42.3
"14383",145.4,-42.2
"14384",145.5,-42.2
"14385",145.6,-42.2
"14386",145.7,-42.2
"14387",145.8,-42.2
"14388",145.9,-42.2
"14389",146,-42.2
"14390",146.1,-42.2
"14391",146.2,-42.2
"14392",146.3,-42.2
"14393",146.4,-42.2
"14394",146.5,-42.2
"14395",146.6,-42.2
"14396",146.7,-42.2
"14397",146.8,-42.2
"14398",146.9,-42.2
"14399",147,-42.2
"14400",147.1,-42.2
"14401",147.2,-42.2
"14402",147.3,-42.2
"14403",147.4,-42.2
"14404",147.5,-42.2
"14405",147.6,-42.2
"14406",147.7,-42.2
"14407",147.8,-42.2
"14408",147.9,-42.2
"14409",148,-42.2
"14412",148.3,-42.2
"14883",145.3,-42.1
"14884",145.4,-42.1
"14885",145.5,-42.1
"14886",145.6,-42.1
"14887",145.7,-42.1
"14888",145.8,-42.1
"14889",145.9,-42.1
"14890",146,-42.1
"14891",146.1,-42.1
"14892",146.2,-42.1
"14893",146.3,-42.1
"14894",146.4,-42.1
"14895",146.5,-42.1
"14896",146.6,-42.1
"14897",146.7,-42.1
"14898",146.8,-42.1
"14899",146.9,-42.1
"14900",147,-42.1
"14901",147.1,-42.1
"14902",147.2,-42.1
"14903",147.3,-42.1
"14904",147.4,-42.1
"14905",147.5,-42.1
"14906",147.6,-42.1
"14907",147.7,-42.1
"14908",147.8,-42.1
"14909",147.9,-42.1
"14910",148,-42.1
"14913",148.3,-42.1
"15384",145.3,-42
"15385",145.4,-42
"15386",145.5,-42
"15387",145.6,-42
"15388",145.7,-42
"15389",145.8,-42
"15390",145.9,-42
"15391",146,-42
"15392",146.1,-42
"15393",146.2,-42
"15394",146.3,-42
"15395",146.4,-42
"15396",146.5,-42
"15397",146.6,-42
"15398",146.7,-42
"15399",146.8,-42
"15400",146.9,-42
"15401",147,-42
"15402",147.1,-42
"15403",147.2,-42
"15404",147.3,-42
"15405",147.4,-42
"15406",147.5,-42
"15407",147.6,-42
"15408",147.7,-42
"15409",147.8,-42
"15410",147.9,-42
"15411",148,-42
"15412",148.1,-42
"15413",148.2,-42
"15884",145.2,-41.9
"15885",145.3,-41.9
"15886",145.4,-41.9
"15887",145.5,-41.9
"15888",145.6,-41.9
"15889",145.7,-41.9
"15890",145.8,-41.9
"15891",145.9,-41.9
"15892",146,-41.9
"15893",146.1,-41.9
"15894",146.2,-41.9
"15895",146.3,-41.9
"15896",146.4,-41.9
"15897",146.5,-41.9
"15898",146.6,-41.9
"15899",146.7,-41.9
"15900",146.8,-41.9
"15901",146.9,-41.9
"15902",147,-41.9
"15903",147.1,-41.9
"15904",147.2,-41.9
"15905",147.3,-41.9
"15906",147.4,-41.9
"15907",147.5,-41.9
"15908",147.6,-41.9
"15909",147.7,-41.9
"15910",147.8,-41.9
"15911",147.9,-41.9
"15912",148,-41.9
"15913",148.1,-41.9
"15914",148.2,-41.9
"15915",148.3,-41.9
"16384",145.1,-41.8
"16385",145.2,-41.8
"16386",145.3,-41.8
"16387",145.4,-41.8
"16388",145.5,-41.8
"16389",145.6,-41.8
"16390",145.7,-41.8
"16391",145.8,-41.8
"16392",145.9,-41.8
"16393",146,-41.8
"16394",146.1,-41.8
"16395",146.2,-41.8
"16396",146.3,-41.8
"16397",146.4,-41.8
"16398",146.5,-41.8
"16399",146.6,-41.8
"16400",146.7,-41.8
"16401",146.8,-41.8
"16402",146.9,-41.8
"16403",147,-41.8
"16404",147.1,-41.8
"16405",147.2,-41.8
"16406",147.3,-41.8
"16407",147.4,-41.8
"16408",147.5,-41.8
"16409",147.6,-41.8
"16410",147.7,-41.8
"16411",147.8,-41.8
"16412",147.9,-41.8
"16413",148,-41.8
"16414",148.1,-41.8
"16415",148.2,-41.8
"16884",145,-41.7
"16885",145.1,-41.7
"16886",145.2,-41.7
"16887",145.3,-41.7
"16888",145.4,-41.7
"16889",145.5,-41.7
"16890",145.6,-41.7
"16891",145.7,-41.7
"16892",145.8,-41.7
"16893",145.9,-41.7
"16894",146,-41.7
"16895",146.1,-41.7
